Numero_Processo,Orgao_Demandante,Objeto,Modalidade,Valor_Maximo_Estimado,Valor_Homologado,Situacao,Razao_Social_Vencedora,CNPJ_Vencedor,Data_Evento
25.855855-3,SEED,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 1,Pregão Eletrônico,3728563.93,0.0,Revogado,N/A,N/A,2023-05-02
24.489033-8,SEED,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 3,Inexigibilidade de Licitação,3987799.61,3722347.99,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2023-04-16
22.301158-6,SEED,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 3,Dispensa de Licitação,2781351.67,0.0,Deserto,N/A,N/A,2023-04-12
23.213349-9,SEIA,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 2,Pregão Eletrônico,4088876.9,0.0,Revogado,N/A,N/A,2023-03-24
24.222343-2,SEIA,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 2,Concorrência Pública,549058.55,520745.03,Homologado,Inova Sul S.A.,98.765.432/0001-10,2023-03-07
21.629057-2,SEIA,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 3,Pregão Eletrônico,1994215.41,1599144.24,Homologado,Inteligência Global ME,45.678.901/0001-23,2023-03-05
23.297816-3,SEED,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 2,Pregão Eletrônico,3358832.03,0.0,Revogado,N/A,N/A,2023-03-02
24.801765-1,SESA,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 2,Pregão Eletrônico,1138770.46,0.0,Deserto,N/A,N/A,2023-02-25
21.437758-9,SESA,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Pregão Eletrônico,2859852.96,0.0,Fracassado,N/A,N/A,2023-02-20
22.250210-9,SEED,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Inexigibilidade de Licitação,4373992.12,3975570.83,Homologado,Inova Sul S.A.,98.765.432/0001-10,2023-02-10
21.769737-4,DETRAN,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 1,Pregão Eletrônico,627052.46,518819.46,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2023-02-05
26.563298-8,SEED,Licenciamento de banco de dados corporativo e suporte técnico - Fase 1,Pregão Eletrônico,4254377.7,3627985.59,Homologado,Startups PR Co.,34.567.890/0001-67,2023-01-27
26.859396-6,DETRAN,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 2,Pregão Eletrônico,2428478.22,,Em Andamento,N/A,N/A,2023-01-25
24.144412-5,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Concorrência Pública,4267132.57,3788921.38,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2023-01-15
21.183958-5,CGE,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Pregão Eletrônico,1934738.85,,Em Andamento,N/A,N/A,2022-12-21
23.332335-5,SESA,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Pregão Eletrônico,2401803.55,2290500.05,Homologado,Inteligência Global ME,45.678.901/0001-23,2022-12-21
25.579123-0,SESA,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Concorrência Pública,364482.27,0.0,Deserto,N/A,N/A,2022-11-25
24.717889-4,SEIA,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 1,Inexigibilidade de Licitação,1550919.81,1179145.49,Homologado,Startups PR Co.,34.567.890/0001-67,2022-11-21
26.870319-8,SEAP,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 1,Pregão Eletrônico,2200819.71,0.0,Revogado,N/A,N/A,2022-11-20
22.956253-7,DETRAN,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Pregão Eletrônico,2980348.33,0.0,Revogado,N/A,N/A,2022-11-04
21.423939-7,SEIA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 2,Inexigibilidade de Licitação,432896.19,0.0,Deserto,N/A,N/A,2022-11-01
21.591465-4,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Pregão Eletrônico,1986782.12,1885532.54,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2022-10-23
21.862400-6,Celepar,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Concorrência Pública,836640.49,0.0,Deserto,N/A,N/A,2022-10-20
25.608136-3,CGE,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 1,Inexigibilidade de Licitação,1078186.29,0.0,Fracassado,N/A,N/A,2022-10-17
26.850981-5,SEAP,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Pregão Eletrônico,2915388.53,,Em Andamento,N/A,N/A,2022-10-10
23.858889-9,SESA,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Pregão Eletrônico,662184.86,0.0,Fracassado,N/A,N/A,2022-09-28
23.952686-2,Celepar,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 3,Pregão Eletrônico,1647371.59,0.0,Fracassado,N/A,N/A,2022-09-25
25.656711-5,SEED,Contratação de consultoria para governança de dados e LGPD - Fase 3,Pregão Eletrônico,3171761.59,0.0,Deserto,N/A,N/A,2022-09-20
21.356150-5,CGE,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 2,Dispensa de Licitação,3174823.47,2816073.81,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2022-09-06
24.237118-5,Celepar,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Pregão Eletrônico,1225598.38,906263.5,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2022-08-18
23.839142-3,SETI,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Pregão Eletrônico,4203640.68,0.0,Deserto,N/A,N/A,2022-08-13
24.352422-3,DETRAN,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 1,Pregão Eletrônico,2700908.91,,Em Andamento,N/A,N/A,2022-08-09
22.289630-9,SESA,Contratação de consultoria para governança de dados e LGPD - Fase 2,Pregão Eletrônico,1658418.38,1611128.26,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2022-08-07
24.912085-5,SEIA,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Pregão Eletrônico,324625.99,277954.41,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2022-08-05
26.223014-7,SEAP,Contratação de consultoria para governança de dados e LGPD - Fase 3,Inexigibilidade de Licitação,1802945.31,1540764.97,Homologado,Startups PR Co.,34.567.890/0001-67,2022-08-03
25.912270-7,SETI,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Pregão Eletrônico,1470701.49,1371583.1,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2022-07-26
25.152179-1,CGE,Conectividade e banda larga para Escolas Estaduais da SEED - Fase 3,Pregão Eletrônico,2743629.75,0.0,Revogado,N/A,N/A,2022-07-14
21.451317-4,SETI,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 3,Pregão Eletrônico,4004992.04,3757870.92,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2022-07-13
26.592296-5,SEAP,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Pregão Eletrônico,2544485.53,2309249.54,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2022-06-19
26.423401-0,SEAP,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Pregão Eletrônico,943771.37,863416.66,Homologado,Startups PR Co.,34.567.890/0001-67,2022-06-08
25.670511-8,SEIA,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Pregão Eletrônico,1759359.51,0.0,Fracassado,N/A,N/A,2022-06-04
21.929538-3,SEIA,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Pregão Eletrônico,4451378.48,,Em Andamento,N/A,N/A,2022-06-03
25.265080-0,Celepar,Licenciamento de plataforma low-code para automação de processos internos - Fase 1,Pregão Eletrônico,333785.06,271386.33,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2022-05-20
22.628373-4,SEAP,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Pregão Eletrônico,2611312.42,0.0,Fracassado,N/A,N/A,2022-05-01
22.956375-7,DETRAN,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 1,Pregão Eletrônico,1802149.23,0.0,Fracassado,N/A,N/A,2022-04-28
23.757246-7,SEIA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 1,Pregão Eletrônico,3089266.1,0.0,Deserto,N/A,N/A,2022-04-11
25.829988-4,SESA,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Inexigibilidade de Licitação,1099590.83,975945.7,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2022-04-08
26.153945-4,CGE,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Pregão Eletrônico,980942.46,,Em Andamento,N/A,N/A,2022-04-05
26.870763-3,CGE,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Pregão Eletrônico,3928585.52,,Em Andamento,N/A,N/A,2022-04-01
21.329258-3,SEIA,Licenciamento de banco de dados corporativo e suporte técnico - Fase 1,Inexigibilidade de Licitação,3164922.63,0.0,Revogado,N/A,N/A,2022-03-28
26.761759-0,SEAP,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Dispensa de Licitação,346732.35,269748.63,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2022-03-15
21.340174-0,DETRAN,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 2,Pregão Eletrônico,4111718.48,0.0,Fracassado,N/A,N/A,2022-03-12
24.355709-7,SEED,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Pregão Eletrônico,1482813.33,,Em Andamento,N/A,N/A,2022-03-11
26.128418-1,SEED,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 2,Pregão Eletrônico,1192898.72,0.0,Fracassado,N/A,N/A,2022-03-10
25.723398-0,Celepar,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Pregão Eletrônico,2366838.74,0.0,Deserto,N/A,N/A,2022-02-23
24.762423-2,SESA,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Inexigibilidade de Licitação,2075827.71,0.0,Deserto,N/A,N/A,2022-02-17
24.745270-6,SEAP,Licenciamento de plataforma low-code para automação de processos internos - Fase 1,Dispensa de Licitação,4203869.36,0.0,Fracassado,N/A,N/A,2022-01-24
21.906066-1,SEAP,Licenciamento de banco de dados corporativo e suporte técnico - Fase 3,Inexigibilidade de Licitação,4216912.13,3445250.08,Homologado,Startups PR Co.,34.567.890/0001-67,2021-12-27
26.453961-4,SETI,Contratação de consultoria para governança de dados e LGPD - Fase 3,Inexigibilidade de Licitação,2089905.62,0.0,Fracassado,N/A,N/A,2021-12-13
25.202664-0,SEIA,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Pregão Eletrônico,2200815.83,2073393.24,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2021-12-04
21.651033-7,DETRAN,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 3,Pregão Eletrônico,3734620.02,3213104.49,Homologado,Inova Sul S.A.,98.765.432/0001-10,2021-12-03
24.644559-7,SESA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 3,Pregão Eletrônico,4193218.25,0.0,Fracassado,N/A,N/A,2021-11-29
25.898975-2,Celepar,Licenciamento de plataforma low-code para automação de processos internos - Fase 3,Pregão Eletrônico,2886104.24,2143783.79,Homologado,Startups PR Co.,34.567.890/0001-67,2021-11-27
21.196781-6,CGE,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 1,Pregão Eletrônico,614763.88,0.0,Deserto,N/A,N/A,2021-11-27
24.575682-5,SESA,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 2,Inexigibilidade de Licitação,3502455.22,3318001.26,Homologado,Inova Sul S.A.,98.765.432/0001-10,2021-11-19
24.102260-6,CGE,Serviços de auditoria de segurança da informação e testes de intrusão (Pentest) - Fase 2,Pregão Eletrônico,3143764.02,,Em Andamento,N/A,N/A,2021-11-14
26.854024-8,SEED,Licenciamento de banco de dados corporativo e suporte técnico - Fase 2,Dispensa de Licitação,1136378.81,0.0,Fracassado,N/A,N/A,2021-11-14
21.362778-3,CGE,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 3,Pregão Eletrônico,2414646.79,2090375.09,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2021-11-12
21.632351-8,SEIA,Aquisição de computadores de alto desempenho e notebooks corporativos - Fase 2,Dispensa de Licitação,2792600.65,0.0,Revogado,N/A,N/A,2021-11-12
23.234568-8,SESA,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 1,Pregão Eletrônico,4100883.85,3825261.09,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2021-11-10
26.920934-9,SEAP,Contratação de consultoria para governança de dados e LGPD - Fase 1,Pregão Eletrônico,792188.92,0.0,Revogado,N/A,N/A,2021-10-30
26.931016-2,SESA,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 1,Pregão Eletrônico,1739973.01,1460440.83,Homologado,Datashield Segurança Ltda,89.012.345/0001-45,2021-10-21
26.117031-5,Celepar,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Inexigibilidade de Licitação,2838308.62,0.0,Fracassado,N/A,N/A,2021-10-01
23.335113-1,SEIA,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 1,Diálogo Competitivo,921142.25,805054.36,Homologado,Inova Sul S.A.,98.765.432/0001-10,2021-09-16
24.896907-0,SEAP,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Pregão Eletrônico,1317490.28,,Em Andamento,N/A,N/A,2021-09-06
24.492650-6,SETI,Licenciamento de plataforma low-code para automação de processos internos - Fase 2,Pregão Eletrônico,3081804.68,2721201.32,Homologado,Inteligência Global ME,45.678.901/0001-23,2021-08-31
25.105506-1,SEIA,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Dispensa de Licitação,2483154.98,0.0,Revogado,N/A,N/A,2021-08-16
23.297636-1,SEIA,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Pregão Eletrônico,3454259.0,2650751.94,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2021-07-26
26.930884-2,SETI,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 1,Pregão Eletrônico,2668106.52,2520755.81,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2021-07-24
24.588899-8,DETRAN,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Pregão Eletrônico,3976169.43,,Em Andamento,N/A,N/A,2021-07-21
24.563638-3,SETI,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Pregão Eletrônico,409036.05,0.0,Fracassado,N/A,N/A,2021-07-11
21.760626-9,SEAP,Contratação de consultoria para governança de dados e LGPD - Fase 1,Pregão Eletrônico,91124.86,0.0,Revogado,N/A,N/A,2021-07-10
26.476096-0,SEED,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 1,Concorrência Pública,4272078.22,,Em Andamento,N/A,N/A,2021-07-07
25.549245-9,SEED,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 1,Concorrência Pública,648342.9,,Em Andamento,N/A,N/A,2021-07-06
24.309902-1,SESA,Licenciamento de plataforma low-code para automação de processos internos - Fase 1,Pregão Eletrônico,4047095.27,,Em Andamento,N/A,N/A,2021-06-29
23.695361-3,SESA,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 3,Dispensa de Licitação,3726644.52,0.0,Fracassado,N/A,N/A,2021-06-27
23.936587-4,DETRAN,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Inexigibilidade de Licitação,1264920.53,1068422.25,Homologado,Inova Sul S.A.,98.765.432/0001-10,2021-06-25
21.469038-8,Celepar,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 2,Pregão Eletrônico,284298.53,0.0,Deserto,N/A,N/A,2021-06-07
26.958729-2,SEAP,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Pregão Eletrônico,805540.63,735346.05,Homologado,Consultoria Eficiente S.A.,56.789.012/0001-56,2021-06-04
26.132663-0,SETI,Licenciamento de plataforma low-code para automação de processos internos - Fase 2,Pregão Eletrônico,512589.38,,Em Andamento,N/A,N/A,2021-05-31
26.722656-7,CGE,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 1,Pregão Eletrônico,1293751.13,,Em Andamento,N/A,N/A,2021-05-26
25.573417-1,SEAP,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 1,Pregão Eletrônico,2659739.97,2300045.33,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2021-05-26
21.744674-5,SEAP,Desenvolvimento de sistema de IA para detecção de fraudes em licitações - Fase 2,Pregão Eletrônico,3016920.62,0.0,Fracassado,N/A,N/A,2021-05-19
26.199704-5,SEED,Desenvolvimento do Novo Portal de Transparência da CGE - Fase 3,Pregão Eletrônico,4292558.55,,Em Andamento,N/A,N/A,2021-05-18
23.349183-4,Celepar,Contratação de Nuvem Híbrida para o Programa Transforma Paraná - Fase 1,Pregão Eletrônico,3578729.02,,Em Andamento,N/A,N/A,2021-05-09
25.135207-7,SEIA,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 3,Pregão Eletrônico,1992163.77,1815315.4,Homologado,Startups PR Co.,34.567.890/0001-67,2021-04-26
26.194769-6,Celepar,Desenvolvimento de aplicativo móvel para integração de serviços estaduais - Fase 3,Inexigibilidade de Licitação,479267.36,428618.54,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2021-04-05
25.108574-1,SEED,Serviços de Desenvolvimento de Chatbot E-Gov para atendimento ao cidadão - Fase 2,Inexigibilidade de Licitação,3444439.74,0.0,Fracassado,N/A,N/A,2021-04-03
26.216739-0,CGE,Consultoria especializada para Implantação de IA em Processos Jurídicos - Fase 1,Pregão Eletrônico,488153.44,422417.67,Homologado,TechPar Soluções Ltda,12.345.678/0001-90,2021-03-03
22.846385-2,DETRAN,Licenciamento de banco de dados corporativo e suporte técnico - Fase 1,Pregão Eletrônico,928382.26,711406.45,Homologado,Brasil Software EIRELI,23.456.789/0001-34,2021-02-23
23.859782-9,CGE,Licenciamento de Software de Inteligência Artificial para análise documental - Fase 1,Pregão Eletrônico,1643138.38,0.0,Deserto,N/A,N/A,2021-01-29
26.380439-0,SESA,Upgrade de infraestrutura de Servidores do Datacenter Celepar - Fase 3,Inexigibilidade de Licitação,4149272.72,0.0,Fracassado,N/A,N/A,2021-01-13
23.557592-9,Celepar,Suporte Técnico Especializado para Sistemas de Prontuário Eletrônico da SESA - Fase 3,Pregão Eletrônico,228407.81,0.0,Revogado,N/A,N/A,2021-01-04
